Rank,Song,Artist,Year,Lyrics
1,Call Me,Blondie,1980,"b""\xe2\x80\x8b\nColour me your colour baby\nColour me your car\nColour me your colour darling\nI know who you are\nCome up off your colour chart\nI know where you are coming from\nCall me  on the line\nCall me call me any anytime\nCall me  I'll arrive\nYou can call me any day or night\nCall me\n\xe2\x80\x8b\nCover me with kisses baby\nCover me with love\nRoll me in designer sheets\nI'll never get enough\nEmotions come I don't know why\nCover up love's alibi\nCall me  on the line\nCall me call me any anytime\nCall me  I'll arrive\nWhen you are ready we can share the wine\nCall me\n\xe2\x80\x8b\xe2\x80\x8b\nOooh he speaks the languages of love\nOooh amore chiamami chiamami\nOooh appelle-moi mon cheri appelle-moi\nAnytime anyplace anywhere any way\nAnytime anyplace anywhere any day any way\n\xe2\x80\x8b\xe2\x80\x8b\nTake me out and show me off\nAnd put me on the scene\nDress me in the fashions\nOf the 1980's\nYou're a man no in-between\nYou know what your words can mean\nCall me  my love\nCall me call me any anytime\nCall me  for a ride\nCall me call me for some overtime\nCall me  my love\nCall me call me in a sweet design\nCall me  call me for your lover's lover's alibi\nCall me  on the line\nCall me call me any anytime\nCall me \nOh call me oo-hoo-hah\nCall me  my love\nCall me call me any anytime\nCall me ah-ha call me ah-ha-ha\nCall me ah-ha-ha call me any day or night\nCall me ooh-ooh-ah-ha-ha ooh-ooh-ha-ha-ha\nCall me ah-ah-ooh\nCall me my my sleek designs\nCall me for a ride call me inside\nCall me ah-ha call me ah-ha\nCall me\nOoh-ooh-ooh-ooh-ah-ah-ah\nCall me in my life\nCall me call me any any time\nCall me I'll arrive\nCall me call me for some overtime\nCall me in my life\nCall me call me and my sleek designs\nCall me call me for your lover's lover's alibi\nCall me in my life\nCall me call me any any time\nOoh-ooh-ooh\nCall me oh-oh call me\nCall me in my life\nCall me call me any any time"""
2,Another Brick in the Wall Part II,Pink Floyd,1980,"b""Ohhh ohhhhh ohhhh ohhhh\nWe don't need no education\nWe don't need no thought control\nNo dark sarcasm in the classroom\nTeachers leave them kids alone\nHey!\nTeacher leave them kids alone!\nAll in all it's just another brick in the wall\nAll in all you're just another brick in the wall\nWe don't need no education\nWe don't need no thought control\nNo dark sarcasm in the classroom\nTeachers leave them kids alone\nHey!\nTeacher leave them kids alone!\nAll in all you're just another brick in the wall\nAll in all you're just another brick in the wall"""
3,Magic,Olivia Newton-John,1980,"b""Come take my hand\nYou should know me\nI've always been in your mind\nYou know I will be kind\nI'll be guiding you\nBuilding your dream\nHas to start now\nThere's no other road to take\nYou won't make a mistake\nI'll be guiding you\nYou have to believe we are magic\nNothin' can stand in our way\nYou have to believe we are magic\nDon't let your aim ever stray\nAnd if all your hopes survive\nDestiny will arrive\nI'll bring all your dreams alive\nFor you\nI'll bring all your dreams alive\nFor you\nFrom where I stand\nYou are home free\nThe planets align so rare\nThere's promise in the air\nAnd I'm guiding you\nThrough every turn\nI'll be near you\nI'll come anytime you call\nI'll catch you when you fall\nI'll be guiding you\nYou have to believe we are magic\nNothin' can stand in our way\nYou have to believe we are magic\nDon't let your aim ever stray\nAnd if all your hopes survive\nDestiny will arrive\nI'll bring all your dreams alive\nFor you\nI'll bring all your dreams alive\nFor you\nHeyyyyyyyy!\nYou have to believe we are magic\nNothin' can stand in our way\nYou have to believe we are magic\nDon't let your aim ever stray\nAnd if all your hopes survive\nDestiny will arrive\nI'll bring all your dreams alive\nFor you\nI'll bring all your dreams alive\nFor you"""
4,Rock with You,Michael Jackson,1980,"b""Girl close your eyes\nLet that rhythm get into you\nDon't try to fight it\nThere ain't nothin' that you can do\nRelax your mind\nLay back and groove with mine\nYou got to feel that heat\nAnd we can ride the boogie\nShare that beat of love\nI wanna rock with you \nDance you into day \nI wanna rock with you \nWe're gonna rock the night away\nOut on the floor\nThere ain't nobody there but us\nGirl when you dance\nThere's a magic that must be love\nJust take it slow\nCause we got so far to go\nWhen you feel that heat\nAnd we're gonna ride the boogie\nShare that beat of love\nI wanna rock with you \nDance you into day \nI wanna rock with you \nWe're gonna rock the night away\nAnd when the groove is dead and gone \nYou know that love survives\nSo we can rock forever on\nI wanna rock with you\nI wanna groove with you\nI wanna rock with you\nI wanna groove with you\nI wanna rock \nWith you girl \nRock with you rock with you girl \nDance the night away\nI wanna rock with you \nRock you into day \nI wanna rock with you \nRock the night away\nFeel the heat feel the beat \nRock you into day \nI wanna rock \nRock the night away"""
5,Do That to Me One More Time,Captain,1980,"b""Do that to me one more time\nOnce is never enough with a man like you\nDo that to me one more time\nI can never get enough of a man like you\nOh kiss me like you just did\nOh baby\nDo that to me once again\nPass that by me one more time\nOnce just isn't enough for my heart to hear\nOh tell it to me one more time\nI can never hear enough while I've got you near oh\nSay those words again like you just did\nOh baby\nTell it to me once again\nDo that to me one more time\nOnce is never enough with a man like you\nWoah do that to me one more time\nI can never get enough of a man like you\nOh kiss me like you just did\nOh baby\nDo that to me once again\nOh baby\nDo that to me once again\nOh baby\nDo that to me one more time\n one more time\n one more time\n one more time\n one more time\n one more time\n one more time"""
6,Crazy Little Thing Called Love,Queen,1980,"b""This thing called love\nI just can't handle it\nThis thing called love\nI must get 'round to it I ain't ready\nCrazy little thing called love\nA-this thing \nCalled love \nIt cries \nIn a cradle all night\nIt swings \nIt jives \nIt shakes all over like a jelly fish woo I kinda like it\nCrazy little thing called love\nThere goes my baby\nShe knows how to rock 'n' roll\nShe drives me crazy\nShe gives me hot and cold fever\nThen she leaves me in a cool cool sweat\n{Break}\nI gotta be cool relax get hip\nAnd get on my tracks\nTake a back seat hitch-hike\nAnd take a long ride on my motorbike until I'm ready\nCrazy little thing called love\nYeah\nI gotta be cool relax get hip\nAnd get on my tracks\nTake a back seat hitch-hike \nAnd take a long ride on my motorbike\nUntil I'm ready \nCrazy little thing called love\nThis thing called love\nI just can't handle it\nThis thing called love\nI must get 'round to it\nI ain't ready \nCrazy little thing called love\nCrazy little thing called love yeah yeah\nCrazy little thing called love yeah yeah\nCrazy little thing called love yeah yeah\nCrazy little thing called love yeah yeah\nCrazy little thing called love yeah yeah\nCrazy little thing called love yeah yeah\nCrazy little thing called love yeah yeah\nCrazy little thing called love yeah yeah"""
7,Coming Up,Paul McCartney,1980,"b""You want a love to last forever\nOne that will never fade away\nI wanna help you with your problem\nStick around I say\nComing up coming up\nComing up like a flower\nComing up I say\nYou want a friend you can rely on\nOne who will never fade away\nAnd if you're searching for an answer\nStick around I say\nComing up coming up\nComing up like a flower\nComing up yeah\nYou want some peace and understanding\nSo everybody can be free\nI know that we can get together\nWe can make it stick with me\nComing up coming up\nComing up like a flower\nComing up\nComing up coming up\nComing up coming up I say\nComing up like a flower\nComing up\nFeel it in my bones\nYou want a better kind of future\nOne that everyone can share\nYou're not alone we all could use it\nStick around we're nearly there\nComing up coming up\nComing up like a flower\nComing up for all to share\nComing up yeah\nComing up any way\nComing up like a flower\nComing up"""
8,Funkytown,Lipps Inc,1980,"b""{Intro}\nGotta make a move to a town that's right for me\nTown to keep me movin' keep me groovin' with some energy\nWell I talk about it talk about it\nTalk about it talk about it\nTalk about talk about\nTalk about movin'\nGotta move on\nGotta move on\nGotta move on\n{Bridge}\nA-won't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\n{Bridge}\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\n{Bridge}\nGotta make a move to a town that's right for me\nTown to keep me movin' keep me groovin' with some energy\nWell I talk about it talk about it\nTalk about it talk about it\nTalk about talk about\nTalk about movin'\nGotta move on\nGotta move on\nGotta move on\n{Bridge}\nA-won't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\n{Bridge}\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me down to Funkytown?\nWon't you take me down to Funkytown?\nWon't you take me down to Funkytown?\nWon't you take me down to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nWon't you take me to Funkytown?\nTake me won't you take me?\nTake me won't you take me?\nTake me won't you take me?\nTake me won't you take me?\nI wanna go to Funkytown\nI wanna go to Funkytown\nI wanna go to Funkytown\nI wanna go to Funkytown"""
9,It's Still Rock and Roll to Me,Billy Joel,1980,"b""What's the matter with the clothes I'm wearing?\nCan't you tell that your tie's too wide?\nMaybe I should buy some old tab collars?\nWelcome back to the age of jive\nWhere have you been hidin' out lately honey?\nYou can't dress trashy till you spend a lot of money\nEverybody's talkin' 'bout the new sound\nFunny but it's still rock and roll to me\nWhat's the matter with the car I'm driving?\nCan't you tell that it's out of style?\nShould I get a set of white wall tires?\nAre you gonna cruise the miracle mile?\nNowadays you can't be too sentimental\nYour best bet's a true baby blue Continental\nHot funk cool punk even if it's old junk\nIt's still rock and roll to me\nOh it doesn't matter what they say in the papers\nCause it's always been the same old scene\nThere's a new band in town\nBut you can't get the sound from a story in a magazine...\nAimed at your average teen\nHow about a pair of pink sidewinders\nAnd a bright orange pair of pants?\nYou could really be a Beau Brummel baby\nIf you just give it half a chance\nDon't waste your money on a new set of speakers\nYou get more mileage from a cheap pair of sneakers\nNext phase new wave dance craze anyways\nIt's still rock and roll to me\nWhat's the matter with the crowd I'm seeing?\nDon't you know that they're out of touch?\nShould I try to be a straight 'A' student?\nIf you are then you think too much\nDon't you know about the new fashion honey?\nAll you need are looks and a whole lotta money\nNext phase new wave dance craze anyways\nIt's still rock and roll to me\nEverybody's talkin' 'bout the new sound\nFunny but it's still rock and roll to me"""
10,The Rose,Bette Midler,1980,"b""Some say love it is a river\nThat drowns the tender reed\nSome say love it is a razor\nThat leaves your soul to bleed\nSome say love it is a hunger\nAn endless aching need\nI say love it is a flower\nAnd you its only seed\nIt's the heart afraid of breaking\nThat never learns to dance\nIt's the dream afraid of waking\nThat never takes the chance\nIt's the one who won't be taken\nWho cannot seem to give\nAnd the soul afraid of dyin'\nThat never learns to live\nWhen the night has been too lonely\nAnd the road has been too long\nAnd you think that love is only\nFor the lucky and the strong\nJust remember in the winter\nFar beneath the bitter snows\nLies the seed that with the sun's love\nIn the spring becomes the rose"""
