Rank,Song,Artist,Year,Lyrics
1,Love Will Keep Us Together,Captain,1975,"b""Love\nLove will keep us together\nThink of me babe whenever\nSome sweet talking girl comes along\nSinging his song\nDon't mess around\nYou just got to be strong\nJust stop\nCause I really love you\nStop I'll be thinking of you\nLook in my heart\nAnd let love keep us together\nYou\nYou belong to me now\nAin't gonna set you free now\nWhen those girls start hanging around\nTalking me down\nHear with your heart\nAnd you won't hear a sound\nJust stop\nCause I really love you\nStop I'll be thinking of you\nLook in my heart\nAnd let love keep us together\nYoung and beautiful\nSomeday your looks will be gone\nWhen the others turn you off\nWho'll be turnin' you on\nI will I will I will\nI will be there to share forever\nLove will keep us together\nI said it before\nAnd I'll say it again\nWhile others pretend\nI need you now and I need you then\nJust stop\nCause I really love you\nStop I'll be thinking of you\nLook in my heart\nAnd let love keep us together\nWhatever\nWhatever I will I will I will I will\nYou better stop\nCause I really love you\nStop I've been thinkin' of you\nLook in my heart\nAnd let love keep us together\nWhatever\nWhatever I will I will I will"""
2,Rhinestone Cowboy,Glen Campbell,1975,"b""I've been walkin' these streets so long\nSingin' the same old song\nI know every crack in these dirty sidewalks of Broadway\nWhere hustle's the name of the game\nAnd nice guys get washed away like the snow and the rain\nThere's been a load of compromisin'\nOn the road to my horizon\nBut I'm gonna be where the lights are shinin' on me\nLike a rhinestone cowboy\nRiding out on a horse in a star-spangled rodeo\nLike a rhinestone cowboy\nGetting cards and letters from people I don't even know\nAnd offers comin' over the phone\nWell I really don't mind the rain\nAnd a smile can hide all the pain\nBut you're down when you're ridin' the train that's takin' the long way\nAnd I dream of the things I'll do\nWith a subway token and a dollar tucked inside my shoe\nThere'll be a load of compromisin'\nOn the road to my horizon\nBut I'm gonna be where the lights are shinin' on me\nLike a rhinestone cowboy\nRiding out on a horse in a star-spangled rodeo\nRhinestone cowboy\nGettin' cards and letters from people I don't even know\nAnd offers comin' over the phone\nLike a rhinestone cowboy\nRiding out on a horse in a star-spangled rodeo\nLike a rhinestone cowboy\nGettin' card and letters from people I don't even know"""
3,Philadelphia Freedom,Elton John,1975,"b""I used to be a rollin' stone you know\nIf a cause was right\nI'd leave to find the answer on the road\nI used to be a heart beatin' for someone\nBut the times have changed\nThe less I say the more my work gets done\n'Cause I live and breathe this Philadelphia freedom\nFrom the day that I was born I've waved the flag\nPhiladelphia freedom took me knee-high to a man yeah\nGave me peace of mind my daddy never had\nOh Philadelphia freedom shine on me I love ya\nShine the light through the eyes of the ones left behind\nShine the light shine the light\nShine the light won't you shine the light\nPhiladelphia freedom I lo-o-ove ya yes I do\nIf you choose to you can live your life alone\nSome people choose the city \nSome others choose the good old family home \nI like livin' easy without family ties \nTill the whippoorwill of freedom zapped me\nRight between the eyes\n'Cause I live and breathe this Philadelphia freedom\nFrom the day that I was born I've waved the flag\nPhiladelphia freedom took me knee-high to a man\nGave me peace of mind my daddy never had\nOh Philadelphia freedom shine on me I love ya\nShine the light through the eyes of the ones left behind\nShine the light shine the light\nShine the light won't you shine the light\nPhiladelphia freedom I lo-o-ove ya yes I do\nOh Philadelphia freedom shine on me I love ya\nShine the light through the eyes of the ones left behind\nShine the light shine the light\nShine the light won't you shine the light\nPhiladelphia freedom I lo-o-ove ya\nYou know I lo-o-ove ya yeah\nYou know I lo-o-ove you yes I do!\nI lo-o-ove you yes I do!\nYou know that I lo-o-ove you yes I do!\nOh don't you know that I lo-o-ove you yes I do!\nDon't you know that I lo-o-ove you yes I do!\nDon't you know that I lo-o-ove you yes I do!"""
4,Before the Next Teardrop Falls,Freddy Fender,1975,"b""If he brings you happiness\nThen I wish you all the best\nIt's your happiness that matters most of all\nBut if he ever breaks your heart\nIf the teardrops ever start\nI'll be there before the next teardrop falls\nSi te quiere de verdad\nY te da felicidad\nTe deseo lo mas bueno pa'los dos\nPero si te hace llorar\nA mi me puedes hablar\nY estare contigo cuando triste estas\nI'll be there anytime\nYou need me by your side\nTo drive away every teardrop that you cried\nAnd if he ever leaves you blue\nJust remember I love you\nAnd I'll be there before the next teardrop falls\nAnd I'll be there before the next teardrop falls"""
5,My Eyes Adored You,Frankie Valli,1975,b'My eyes adored you though I never laid a hand on you My eyes adored you like a million miles away from me You couldn t see how I adored you So close so close and yet so far Carried your books from school Playin make believe you re married to me You were fifth grade I was sixth when we came to be Walkin home ev ry day over Bonnicut Bridge and Bay Till we grew into the me and you who went our separate ways My eyes adored you though I never laid a hand on you My eyes adored you like a million miles away from me You couldn t see how I adored you So close so close and yet so far Headed for city lights climbed the ladder up to fortune and fame I worked my fingers to the bone made myself a name Funny I seemed to find that no matter how the years unwind Still I reminisce bout the girl I miss and the love I left behind My eyes adored you though I never laid a hand on you My eyes adored you like a million miles away from me You couldn t see how I adored you So close so close and yet so far All my life I will remember how warm and tender we were way back then Whoa baby Oh the feeling sad regrets I know I won t ever forget you My childhood friend My eyes adored you though I never laid a hand on you My eyes adored you like a million miles away from me You couldn t see how I adored you So close so close and yet so far'
6,Some Kind of Wonderful,Grand Funk,1975,"b""I don't need a whole lots of money\nI don't need a big fine car\nI got everything that a man could want\nI got more than I could ask for\nI don't have to run around\nI don't have to stay out all night\nCause I got me a sweet ... a sweet lovin' woman\nAnd she knows just how to treat me right\nWell my baby she's alright\nWell my baby she's clean out-of-sight\nDon't you know that she's ... she's some kind of wonderful\nShe's some kind of wonderful ... yes she is she's\nShe's some kind of wonderful yeah yeah yeah yeahhh ...\nWhen I hold her in my arms\nYou know she sets my soul on fire\nOooh when my baby kisses me\nMy heart becomes filled with desire\nWhen she wraps her lovin' arms around me\nAbout drives me out of my mind\nYeah when my baby kisses me\nChills run up and down my spine\nWell my baby she's alright\nWell my baby she's clean out-of-sight\nDon't you know that she is ... she's some kind of wonderful\nShe's some kind of wonderful ... yes she is\nShe's some kind of wonderful yeah yeah yeah yeahhh ...\nNow is there anybody got a sweet little woman like mine?\nThere got to be somebody got a got a sweet little woman like mine? Yeah!\nCan I get a witness?\nCan I get a witness?\nCan I get a witness? Yeah ...\nCan I get a witness? Ohhh ...\nCan I get a witness? Yeah ...\nCan I get a witness? Yeah yes\nI'm talkin' talkin' 'bout my baby. Yeah\nShe's some kind of wonderful\nTalkin' 'bout my baby\nShe's some kind of wonderful\nTalkin' 'bout my baby\nShe's some kind of wonderful\nI'm talkin' 'bout my baby my baby my baby\nShe's some kind of wonderful\nI'm talkin' about my baby my baby my baby\nShe's some kind of wonderful\nYeah yeah yeah yeah ... my baby my baby\nShe's some kind of wonderful\nTalkin' 'bout my baby my baby my baby\nShe's some kind of wonderful\nI'm talkin' 'bout my baby my baby my baby\nShe's some kind of wonderful\nTalking 'bout my babe\nShe's some kind of wonderful\nShe's some kind of wonderful"""
7,Shining Star,Earth Wind,1975,"b""Yeah hey hey\nWhen you wish upon a star\nYour dreams will take you very far yeah\nBut when you wish upon a dream\nLife ain't always what it seems oh yeah\nWhat you see\nOn nights so clear hey\nIn the sky so very dear yeah?\nYou're a shining star\nNo matter who you are\nShining bright to see\nWhat you could truly be\nShining star come into view\nTo shine its watchful light on you\nGive you strength\nTo carry on yeah\nYeah make your body big and strong yeah\nBorn a man-child of the sun yeah\nYeah saw my work had just begun\nYeah found I had to stand alone yeah\nBless it now\nI've got my own\nOh yeah oh yeah\nSo if you find yourself in need\nWhy don't you listen\nTo these words of heed\nBe a giant or grain of sand\nWords of wisdom\nYes I can\nYou're a shining star\nNo matter who you are\nShining bright to see\nWhat you could truly be\nYou're a shining star\nNo matter who you are\nShining bright to see\nWhat you could truly be\nYou're a shining star\nNo matter who you are\nShining bright to see\nWhat you could truly be\nShining star for you to see\nWhat your life can truly be\nShining star for you to see\nWhat your life can truly be\nShining star for you to see\nWhat your life can truly be"""
8,Fame,David Bowie,1975,"b'Fame  makes a man take things over\nFame  lets him loose hard to swallow\nFame  puts you there where things are hollow\nFame \nFame it\'s not your brain it\'s just the flame\nThat burns your change to keep you insane \nFame \nFame  what you like is in the limo\nFame  what you get is no tomorrow\nFame  what you need you have to borrow\nFame \nFame ""Nein! It\'s mine!"" is just his line\nTo bind your time it drives you to crime\nFame \nCould it be the best could it be?\nReally be really babe?\nCould it be my babe could it babe?\nCould it babe? Could it babe?\nIs it any wonder I reject you first?\nFame fame fame fame\nIs it any wonder you are too cool to fool\nFame \nFame bully for you chilly for me\nGot to get a rain check on pain \nFame fame fame fame fame fame fame fame fame fame fame fame fame\nFame fame fame fame fame fame fame fame fame fame\nFame\nWhat\'s your name?\nFeeling so gay feeling gay'"
9,Laughter in the Rain,Neil Sedaka,1975,"b""Strolling along country roads with my baby\nIt starts to rain it begins to pour\nWithout an umbrella we're soaked to the skin\nI feel a shiver run up my spine\nI feel the warmth of her hand in mine\nOh I hear laughter in the rain\nWalking hand in hand with the one I love\nOh how I love the rainy days\nAnd the happy way I feel inside\nAfter a while we run under a tree \nI turn to her and she kisses me\nThere with the beat of the rain on the leaves \nSoftly she breathes and I close my eyes\nSharing our love under stormy skies\nOh I hear laughter in the rain\nWalking hand in hand with the one I love\nOh how I love the rainy days\nAnd the happy way I feel inside\nI feel the warmth of her hand in mine\nOh I hear laughter in the rain\nWalking hand in hand with the one I love\nOh how I love the rainy days\nAnd the happy way I feel inside\nOh I hear laughter in the rain\nWalking hand in hand with the one I love\nOh how I love the rainy days\nAnd the happy way I feel inside"""
10,One of These Nights,Eagles,1975,"b""One of these nights\nOne of these crazy old nights\nWe're gonna find out pretty mama\nWhat turns on your lights\nThe full moon is calling the fever is high\nAnd the wicked wind whispers and moans\nYou got your demons and you got desires\nWell I got a few of my own\nOoh someone to be kind to\nIn between the dark and the light\nOoh coming right behind you\nSwear I'm gonna find you one of these nights\nOne of these dreams\nOne of these lost and lonely dreams now\nWe're gonna find one\nOh one that really screams\nI've been searching for the daughter of the devil himself\nI've been searching for an angel in white\nI've been waiting for a woman who's a little of both\nAnd I can feel her but she's nowhere in sight\nOoh loneliness will blind you\nIn between the wrong and the right \nOoh coming right behind you\nSwear I'm gonna find you one of these nights\nOne of these nights\nIn between the dark and the light\nComing right behind you\nSwear I'm gonna find you\nGet you baby one of these nights\nOne of these nights\nHoo hoo hoo\nHoo hoo hoo\nOne of these nights\nI I can feel it\nI can feel it\nOne of these nights\nComing right behind you\nSwear I'm gonna find you now\nOne of these nights\nBaby so don't don't\nI'm all alone\nOne of these nights\nOne of these crazy crazy crazy nights\nOne of these nights\nSwear I'm gonna find you\nComing right behind you\nOne of these nights\nHoo hoo hoohoohoo\nOne of these nights\nAll I wanna say ahhh\nOne of these nights"""
11,Thank God I'm a Country Boy,John Denver,1975,"b'Well life\'s on a farm is kinda laid back\nAin\'t much an old country boy like me can\'t hack\nIt\'s early to rise early in the sack thank God I\'m a country boy\nWell a simple kind of life never did me no harm\nRaising me a family and working on the farm\nMy days are all filled with an easy country charm thank God I\'m a country boy\nWell I got me a fine wife I got me old fiddle\nWhen the sun\'s coming up I got cakes on the griddle\nAnd life ain\'t nothing but a funny funny riddle thank God I\'m a country boy\nWhen the work\'s all done and the sun\'s setting low\nI pull out my fiddle and I rosin up the bow\nThe kids are asleep so I keep it kinda low thank God I\'m a country boy\nI\'d play ""Sally Goodin\'"" all day if I could\nBut the Lord and my wife wouldn\'t take it very good\nSo I fiddle when I can and I work when I should thank God I\'m a country boy\nI wouldn\'t trade my life for diamonds or jewels\nI never was one of them money hungry fools\nI\'d rather have my fiddle and my farming tools thank God I\'m a country boy\nYeah city folk driving in a black limousine\nA lot of sad people thinking that\'s-a mighty keen\nSon let me tell you now exactly what I mean thank God I\'m a country boy\nWell my fiddle was my daddy\'s till the day he died\nAnd he took me by the hand and held me close to his side\nHe said ""Live a good life and play my fiddle with pride\nAnd thank God you\'re a country boy.""\nMy Daddy taught me young how to hunt and how to whittle\nHe taught me how to work and play a tune on the fiddle\nHe taught me how to love and how to give just a little\nThank God I\'m a country boy'"
12,Jive Talkin',Bee Gees,1975,"b""It's just your jive talkin'\nYou're telling me lies yeah\nJive talkin'\nYou wear a disguise\nJive talkin'\nSo misunderstood yeah\nJive talkin'\nYou really no good\nOh my child\nYou'll never know\nJust what you mean to me\nOh my child\nYou got so much\nYou're gonna take away my energy\nWith all your jive talkin'\nYou're telling me lies yeah\nGood lovin'\nStill gets in my eyes\nNobody believes what you say\nIt's just your jive talkin'\nThat gets in the way\nOh my love\nYou're so good\nTreating me so cruel\nThere you go\nWith your fancy lies\nLeavin' me lookin'\nLike a dumbstruck fool\nWith all your\nJive talkin'\nYou're telling me lies yeah\nJive talkin'\nYou wear a disguise\nJive talkin'\nSo misunderstood yeah\nJive talkin'\nYou just ain't no good\nLove talkin'\nIs all very fine yeah\nJive talkin'\nJust isn't a crime\nAnd if there's somebody\nYou'll love till you die\nThen all that jive talkin'\nJust gets in your eye\nJive talkin'\nYou're telling me lies yeah\nGood lovin'\nStill gets in my eyes\nNobody"""
