Rank,Song,Artist,Year,Lyrics
1,"Gangsta's Paradise",Coolio,1995,b' As I walk through the valley of the shadow of death I take a look at my life and realize there s nothin left Cause I ve been blastin and laughin so long That even my momma thinks that my mind is gone But I ain t never crossed a man that didn t deserve it Me be treated like a punk you know that s unheard of You better watch how you talkin and where you walkin Or you and your homies might be lined in chalk I really hate to trip but I gotta loc As they croak I see myself in the pistol smoke Fool I m the kinda G the little homies wanna be like On my knees in the night sayin prayers in the streetlight Been spendin most their lives Livin in the gangsta s paradise Been spendin most their lives Livin in the gangsta s paradise Keep spendin most our lives Livin in the gangsta s paradise Keep spendin most our lives Livin in the gangsta s paradise Look at the situation they got me facin I can t live a normal life I was raised by the street So I gotta be down with the hood team Too much television watchin got me chasin dreams I m a educated fool with money on my mind Got my ten in my hand and a gleam in my eye I m a loc d out gangsta set trippin banger And my homies is down so don t arouse my anger Fool death ain t nothin but a heart beat away I m livin life do or die what can I say I m 23 now but will I live to see 24 The way things is goin I don t know Tell me why are we so blind to see That the ones we hurt are you and me Been spendin most their lives Livin in a gangsta s paradise Been spendin most their lives Livin in a gangsta s paradise Keep spendin most our lives Livin in a gangsta s paradise Keep spendin most our lives Livin in a gangsta s paradise Power and the money money and the power Minute after minute hour after hour Everybody s runnin but half of them ain t lookin It s goin on in the kitchen but I don t know what s cookin They say I gotta learn but nobody s here to teach me If they can t understand it how can they reach me I guess they can t I guess they won t I guess they frontin that s why I know my life is out of luck fool Been spendin most their lives Livin in a gangsta s paradise Been spendin most their lives Livin in a gangsta s paradise Keep spendin most our lives Livin in a gangsta s paradise Keep spendin most our lives Livin in a gangsta s paradise Tell me why are we so blind to see That the ones we hurt are you and me Tell me why are we so blind to see That the ones we hurt are you and me '
2,"Waterfalls",TLC,1995,b' A lonely mother gazing out of the window Staring at a son that she just can t touch If at any time he s in a jam she ll be by his side But he doesn t realize he hurts her so much But all the praying just ain t helping at all Cause he can t seem to keep his self out of trouble So he goes out and he makes his money the best way he knows how Another body laying cold in the gutter Listen to me Don t go chasing waterfalls Please stick to the rivers and the lakes that you re used to I know that you re gonna have it your way or nothing at all But I think you re moving too fast Little precious has a natural obsession for temptation But he just can t see She gives him loving that his body can t handle But all he can say is Baby it s good to me One day he goes and takes a glimpse in the mirror But he doesn t recognize his own face His health is fading and he doesn t know why Three letters took him to his final resting place Y all don t hear me Don t go chasing waterfalls Please stick to the rivers and the lakes that you re used to I know that you re gonna have it your way or nothing at all But I think you re moving too fast Don t go chasing waterfalls Please stick to the rivers and the lakes that you re used to I know that you re gonna have it your way or nothing at all But I think you re moving too fast Come on I seen a rainbow yesterday but too many storms Have come and gone leaving a trace of not one God given ray Is it because my life is ten shades of gray I pray All ten fade away seldom praise Him for the sunny days And like His promise is true only my faith can undo The many chances I blew to bring my life to anew Clear and blue and unconditional skies Have dried the tears from my eyes no more lonely cries My only bleeding hope is for the folk who can t cope With such an endurin pain that it keeps em in the pourin rain Who s to blame for tooting caine into your own vein What a shame you shoot and aim for someone else s brain You claim the insane and name this day in time For falling prey to crime I say the system s got you victim to your own mind Dreams are hopeless aspirations in hopes of coming true Believe in yourself the rest is up to me and you Don t go chasing waterfalls Please stick to the rivers and the lakes that you re used to I know that you re gonna have it your way or nothing at all But I think you re moving too fast Don t go chasing waterfalls Please stick to the rivers and the lakes that you re used to I know that you re gonna have it your way or nothing at all But I think you re moving too fast'
3,"Creep",TLC,1995,b' Yes it s me again And I m back Oh I oh I oh I yeah Oh I oh I oh I baby Oh I oh I oh I yeah The 22nd of loneliness and we ve been through so many things I love my man with all honesty but I know he s cheating on me I look him in his eyes but all he tells me is lies to keep me near I ll never leave him down Though I might mess around It s only cause I need some affection So I creep yeah just keep it on the down low Said nobody is supposed to know So I creep yeah cause he doesn t know what I do And no attention goes to show oh so I creep The 23rd of loneliness and we don t talk like we used to do Now it seems pretty strange but I m not buggin Cause I still feel the same yeah yeah I ll keep giving loving till the day he pushes me away Never go astray If he knew the things I did He couldn t handle it And I choose to keep him protected oh So I creep yeah just keep it on the down low Said nobody is supposed to know So I creep yeah cause he doesn t know what I do And no attention goes to show oh So I creep yeah just keep it on the down low Said nobody is supposed to know So I creep yeah cause he doesn t know what I do And no attention goes to show oh Oh I oh I oh I yeah Oh I oh I oh I yeah Oh I oh I oh I baby Oh I oh I oh I yeah So I creep yeah I just keep it on the down low So I creep yeah cause he doesn t know what I do I creep around because I need attention Don t mess around with my affection yeah So I creep yeah I just keep it on the down low So I creep yeah cause he doesn t know what I do So I creep yeah just keep it on the down low Said nobody is supposed to know So I creep yeah cause he doesn t know what I do And no attention goes to show oh so I creep'
4,"Kiss from a Rose",Seal,1995,b' There used to be a graying tower alone on the sea You became the light on the dark side of me Love remained a drug that s the high and not the pill But did you know that when it snows My eyes become large and The light that you shine can t be seen Baby I compare you to a kiss from a rose on the gray Ooh the more I get of you the stranger it feels yeah And now that your rose is in bloom A light hits the gloom on the gray There is so much a man can tell you So much he can say You remain my power my pleasure my pain baby To me you re like a growing addiction that I can t deny Won t you tell me is that healthy baby But did you know that when it snows My eyes become large and The light that you shine can t be seen Baby I compare you to a kiss from a rose on the gray Ooh the more I get of you the stranger it feels yeah And now that your rose is in bloom A light hits the gloom on the gray I ve been kissed by a rose on the gray I I ve been kissed by a rose on the gray I ve been kissed by a rose on the gray I I ve been kissed by a rose on the gray There is so much a man can tell you So much he can say You remain my power my pleasure my pain To me you re like a growing addiction that I can t deny yeah Won t you tell me is that healthy baby But did you know that when it snows My eyes become large and The light that you shine can t be seen Baby I compare you to a kiss from a rose on the gray Ooh the more I get of you the stranger it feels yeah And now that your rose is in bloom A light hits the gloom on the gray Yes I compare you to a kiss from a rose on the gray Ooh the more I get of you the stranger it feels yeah And now that your rose is in bloom A light hits the gloom on the gray Now that your rose is in bloom A light hits the gloom on the gray'
5,"On Bended Knee",Boyz II Men,1995,b' Darlin I I can t explain Where did we lose our way Girl it s drivin me insane And I know I just need one more chance To prove my love to you And if you come back to me I ll guarantee That I ll never let you go Can we go back to the days our love was strong Can you tell me how a perfect love goes wrong Can somebody tell me how to get things back The way they use to be Oh God give me a reason I m down on bended knee I ll never walk again until you come back to me I m down on bended knee So many nights I dream of you Holding my pillow tight And I know I don t need to be alone When I open up my eyes To face reality Every moment without you It seems like eternity I m begging you begging you come back to me Can we go back to the days our love was strong Can you tell me how a perfect love goes wrong Can somebody tell me how to get things back The way they use to be Oh God give me a reason I m down on bended knee I ll never walk again until you come back to me I m down on bended knee Baby I m sorry Please forgive me for all the wrong I ve done Please come back home girl I know you put all your trust in me I m sorry I let you down Please forgive me I m Gonna swallow my pride Say I m sorry Stop pointing fingers the blame is on me I want a new life And I want it with you If you feel the same Don t ever let it go You gotta believe in the spirit of love It ll heal all things It won t hurt anymore No I don t believe our love s terminal I m down on my knees begging you please Come home Can we go back to the days our love was strong Can you tell me how a perfect love goes wrong Can somebody tell me how to get things back The way they used to be Oh God give me a reason I m down on bended Down on bended knee I ll never walk again until you come back to me I m down on bended knee Can we go back to the days our love was strong Can you tell me how a perfect love goes wrong Can somebody tell me how to get things back The way they use to be Oh God give me a reason I m down on Down on bended knee I ll never walk again until you come back to me I m down on bended knee Wanna build a new life Just you and me Gonna make you my wife Raise a family'
6,"Another Night",Real McCoy,1995,b' Another night another dream but always you It s like a vision of love that seems to be true Another night another dream but always you In the night I dream of love so true Just another night another vision of love You feel joy you feel pain Cause nothing will be the same Just another night is all that it takes To understand the difference between lovers and fakes So baby I talk talk I talk to you In the night in your dream of love so true I talk talk I talk to you In the night in your dream of love so true In the night in my dreams I m in love with you Cause you talk to me like lovers do I feel joy I feel pain Cause it s still the same When the night is gone I ll be alone Another night another dream but always you It s like a vision of love that seems to be true Another night another dream but always you In the night I dream of love so true Just another night another dream another vision Of love with me I m here to set you free I am your lover your brother Hey sister let me cover your body with my love is with my lovin just another Vision of love that seems to be true all we do all the things that only lovers do Vision of love that seems to be true all we do all the things that only lovers do In the night in my dreams I m in love with you Cause you talk to me like lovers do I feel joy I feel pain Cause it s still the same when the night is gone I ll be alone Another night another dream but always you It s like a vision of love that seems to be true Another night another dream but always you In the night I dream of love so true I talk talk I talk to you in the night In your dream of love so true I talk talk I talk to you in the night in your dream of love so true In the night in my dreams I m in love with you Cause you talk to me like lovers do I feel joy I feel pain Cause it s still the same when the night is gone I ll be alone Another night another dream but always you It s like a vision of love that seems to be true Another night another dream but always you In the night I dream of love so true'
7,"Fantasy",Mariah Carey,1995,b' Oh when you walk by every night Talking sweet and looking fine I get kind of hectic inside Mmm baby I m so into you Darling if you only knew All the things that flow through my mind But it s just a sweet sweet fantasy baby When I close my eyes you come and take me On and on and on it s so deep in my daydreams But it s just a sweet sweet fantasy baby Images of rapture Creep into me slowly As you re going to my head And my heart beats faster When you take me over Time and time and time again But it s just a sweet sweet fantasy baby When I close my eyes you come and take me On and on and on it s so deep in my daydreams But it s just a sweet sweet fantasy baby Oh oh it s just a sweet sweet fantasy baby When I close my eyes you come and take me On and on and on it s so deep in my daydreams But it s just a sweet sweet fantasy baby I m in heaven With my boyfriend my laughing boyfriend There s no beginning and there is no end Feels like I m dreaming but I m not sleeping Oh it s just a sweet sweet fantasy baby When I close my eyes you come and take me On and on and on it s so deep in my daydreams But it s just a sweet sweet fantasy baby Sweet sweet fantasy baby When I close my eyes you come and take me On and on and on it s so deep in my daydreams But it s just a sweet sweet fantasy baby Sweet sweet fantasy baby Sweet sweet fantasy baby'
8,"Take a Bow",Madonna,1995,b' Take a bow the night is over This masquerade is getting older Lights are low the curtains down There s no one here There s no one here there s no one in the crowd Say your lines but do you feel them Do you mean what you say when there s no one around No one around Watching you watching me one lonely star One lonely star you don t know who you are I ve always been in love with you Always with you I guess you ve always known it s true You know it s true You took my love for granted why oh why The show is over say good bye Say good bye Bye bye Say good bye Make them laugh it comes so easy When you get to the part Where you re breaking my heart Breaking my heart Hide behind your smile all the world loves a clown Just make them smile the whole world loves a clown Wish you well I cannot stay You deserve an award for the role that you played Role that you played No more masquerade you re one lonely star One lonely star and you don t know who you are I ve always been in love with you Always with you I guess you ve always known it s true You know it s true You took my love for granted why oh why The show is over say good bye Say good bye I ve always been in love with you Always with you I guess you ve always known it s true You know it s true You took my love for granted why oh why The show is over say good bye Say good bye Bye bye Say good bye All the world is a stage World is a stage And everyone has their part Has their part But how was I to know which way the story d go How was I to know you d break You d break you d break you d break You d break my heart I ve always been in love with you I ve always been in love with you I guess you ve always known You took my love for granted why oh why The show is over say good bye I ve always been in love with you Always with you I guess you ve always known it s true You know it s true You took my love for granted why oh why The show is over say good bye Say good bye Bye bye Say good bye Say good bye'
9,"Don't Take It Personal (Just One of Dem Days)",Monica,1995,b' It s just one of them days when I wanna be all alone It s just one of them days when I gotta be all alone It s just one of them days don t take it personal I just wanna be all alone and you think I treat you wrong I wanna take some time out to think things through I know it always feels like I m doing you wrong But I m so in love with you So understand that I m only in love You re the only one I need So have no thought that I want to leave And baby trust me please Just one of them days That a girl goes through When I m angry inside Don t want to take it out on you Just one of them days Don t take it personal I just wanna be all alone And you think I treat you wrong Don t take it personal Baby baby baby baby don t take it personal I see and I think about every thing we do And I find myself in misery and that ain t cool Hey now I really want to be with you the whole way through But the way you make me feel inside keeps me confused As I swing back from mood to mood it s not because of you I never want you to be insecure So won t you understand that I m only in love You re the only one I need I ll be there for you when you need me boy So baby don t you leave Just one of them days That a girl goes through When I m angry inside Don t want to take it out on you Just one of them days Don t take it personal I just wanna be all alone And you think I treat you wrong Don t take it personal Baby baby baby baby don t take it personal Just one of them days That a girl goes through When I m angry inside Don t want to take it out on you Just one of them days Don t take it personal I just wanna be all alone And you think I treat you wrong Don t take it personal Baby baby baby baby don t take it personal Just one of them days Just one of them days Just one of them days a girls goes through Don t take it personal Baby baby baby baby don t take it personal Don t take it personal yeah don t take it personal Don t take it personal baby Personal baby personal baby personal baby Personal baby personal baby'
10,"This Is How We Do It",Montell Jordan,1995,b' This is how we do it Sha la la la la la lo Shabada lo lo lo whoa Lo lo lo low oh oh This is how we do it It s Friday night and I feel all right The party is here on the West Side So I reach for my 40 and I turn it up Designated driver take the keys to my truck Hit the shaw cause I m faded Honies in the street say Monty yo we made it It feels so good in my hood tonight The summertime skirts and the guys in Kani All the gangbangers forgot about the drive by You gotta get your groove on before you go get paid So tip up your cup and throw your hands up And let me hear the party say I m kinda buzzed and its all because South Central does it like nobody does To all my neighbors you got much flavor Let s flip the track bring the old school back This is how we do it all hands are in the air And wave them from here to there If you re an O G mack or a wannabe player You see the hood s been good to me Ever since I was a lower case g But now I m a big G The girls see I got the money Hundred dollar bills y all If you were from where I m from then you would know That I gotta get mine in a big black truck You can get yours in a 64 Whatever it is the party s underway So tip up your cup and throw your hands up And let me hear the party say I m kinda buzzed and it s all because South Central does it like nobody does To all my neighbors you got much flavor Let s flip the track bring the old school back I m kinda buzzed and it s all because South Central does it like nobody does Y N Vee SCC I ll never come wack on an old school track Check it out Once upon a time in 94 Montell made no money and life sure was slow All they said was 6 8 he stood And people thought the music that he made was good There lived a D J and Paul was his name He came up to Monty this is what he said You and Oji are gonna make some cash Sell a million records and we ll make in a dash Ohh I m buzzin because South Central does it like nobody does To all my neighbors you got much flavor I ll never come wack on an old school track I m kinda buzzed and it s all because South Central does it like nobody does Oh it s party time Straight up comin from the West Side OGs got the flavor yeah And Monty does it like nobody does C mon now Def Jam you know what it is '
