Rank,Song,Artist,Year,Lyrics
1,To Sir With Love,Lulu,1967,"b'Those schoolgirl days\nOf telling tales and biting nails are gone\nBut in my mind\nI know they will still live on and on\nBut how do you thank someone\nWho has taken you from crayons to perfume?\nIt isn\'t easy but I\'ll try\nIf you wanted the sky\nI would write across the sky in letters\nThat would soar a thousand feet high\n""To Sir with love""\nThe time has come\nFor closing books and long last looks must end\nAnd as I leave\nI know that I am leaving my best friend\nA friend who taught me right from wrong\nAnd weak from strong that\'s a lot to learn\nWhat what can I give you in return?\nIf you wanted the moon\nI would try to make a start\nBut I would rather you let me give my heart\nTo Sir with love'"
2,The Letter,The Box Tops,1967,"b""Gimme a ticket for an aeroplane\nI ain't got time to take a fast train\nLonely days are gone I'm a goin' home\nMy baby jus' wrote me a letter\nI don't care how much money I gotta spend\nI got to get back to my baby again\nLonely days are gone I'm a goin' home\nMy baby jus' wrote me a letter\nWell she wrote me a letter\nSaying she couldn't live without me no more\nListen mister can't you see\nI gotta get back to my baby once more\nAny way yeah\nGimme a ticket for an aeroplane\nI ain't got time to take a fast train\nLonely days are gone I'm a goin' home\nMy baby jus' wrote me a letter\nWell she wrote me a letter\nSaying she couldn't live without me no more\nListen mister can't you see\nI gotta get back to my baby once more\nAny way yeah\nGimme a ticket for an aeroplane\nI ain't got time to take a fast train\nLonely days are gone I'm a goin' home\nMy baby jus' wrote me a letter\nMy baby jus' wrote me a letter"""
3,Ode to Billie Joe,Bobbie Gentry,1967,"b'It was the third of June another sleepy dusty Delta day\nI was out choppin\' cotton and my brother was balin\' hay\nAnd at dinner time we stopped and walked back to the house to eat\nAnd mama hollered out the back door ""y\'all remember to wipe your feet!""\nAnd then she said ""I got some news this mornin\' from Choctaw Ridge\nToday Billy Joe MacAllister jumped off the Tallahatchie Bridge""\nAnd papa said to mama as he passed around the blackeyed peas\n""Well Billie Joe never had a lick of sense; pass the biscuits please\nThere\'s five more acres in the lower forty I\'ve got to plow""\nAnd mama said it was shame about Billie Joe anyhow\nSeems like nothin\' ever comes to no good up on Choctaw Ridge\nAnd now Billy Joe MacAllister\'s jumped off the Tallahatchie Bridge\nAnd brother said he recollected when he and Tom and Billie Joe\nPut a frog down my back at the Carroll County picture show\nAnd wasn\'t I talking to him after church last Sunday night?\n""I\'ll have another piece-a apple pie; you know it don\'t seem right\nI saw him at the sawmill yesterday on Choctaw Ridge\nAnd now you tell me Billie Joe\'s jumped off the Tallahatchie Bridge""\nAnd mama said to me ""Child what\'s happened to your appetite?\nI\'ve been cookin\' all morning and you haven\'t touched a single bite\nThat nice young preacher Brother Taylor dropped by today\nSaid he\'d be pleased to have dinner on Sunday oh by the way\nHe said he saw a girl that looked a lot like you up on Choctaw Ridge\nAnd she and Billie Joe was throwing somethin\' off the Tallahatchie Bridge""\nA year has come and gone since we heard the news \'bout Billie Joe\nAnd brother married Becky Thompson; they bought a store in Tupelo\nThere was a virus going \'round; papa caught it and he died last spring\nAnd now mama doesn\'t seem to want to do much of anything\nAnd me - I spend a lot of time pickin\' flowers up on Choctaw Ridge\nAnd drop them into the muddy water off the Tallahatchie Bridge'"
4,Windy,The Association,1967,"b""Who's peeking out from under a stairway\nCalling a name that's lighter than air\nWho's bending down to give me a rainbow\nEveryone knows it's Windy\nWho's tripping down the streets of the city\nSmiling at everybody she sees\nWho's reaching out to capture a moment\nEveryone knows it's Windy\nAnd Windy has stormy eyes\nThat flash at the sound of lies\nAnd Windy has wings to fly\nAbove the clouds\nAbove the clouds\nAnd Windy has stormy eyes\nThat flash at the sound of lies\nAnd Windy has wings to fly\nAbove the clouds\nAbove the clouds\nWho's tripping down the streets of the city\nSmiling at everybody she sees\nWho's reaching out to capture a moment\nEveryone knows it's Windy\nWho's tripping down the streets of the city\nSmiling at everybody she sees\nWho's reaching out to capture a moment\nEveryone knows it's Windy\nWho's tripping down the streets of the city\nSmiling at everybody she sees\nWho's reaching out to capture a moment\nEveryone knows it's Windy\nWho's tripping down the streets of the city\nSmiling at everybody she sees\nWho's reaching out to capture a moment\nEveryone knows it's Windy"""
5,I'm a Believer,The Monkees,1967,"b""I thought love was only true in fairy tales\nMeant for someone else but not for me\nLove was out to get me\nThat's the way it seemed\nDisappointment haunted all my dreams\nThen I saw her face now I'm a believer\nNot a trace of doubt in my mind\nI'm in love I'm a believer!\nI couldn't leave her if I tried\nI thought love was more or less a givin' thing\nSeems the more I gave the less I got\nWhat's the use in tryin'?\nAll you get is pain\nWhen I needed sunshine I got rain\nThen I saw her face now I'm a believer\nNot a trace of doubt in my mind\nI'm in love I'm a believer\nI couldn't leave her if I tried\nLove was out to get me\nThat's the way it seemed\nDisappointment haunted all my dreams\nThen I saw her face now I'm a believer\nNot a trace of doubt in my mind\nI'm in love I'm a believer\nI couldn't leave her if I tried\nThen I saw her face now I'm a believer\nNot a trace of doubt in my mind\nAnd I'm a believer yeah yeah yeah yeah yeah\nI'm a believer"""
6,Light My Fire,The Doors,1967,"b""You know that it would be untrue\nYou know that I would be a liar\nIf I was to say to you\nGirl we couldn't get much higher\nCome on baby light my fire\nCome on baby light my fire\nTry to set the night on fire\nThe time to hesitate is through\nNo time to wallow in the mire\nTry now we can only lose\nAnd our love become a funeral pyre\nCome on baby light my fire\nCome on baby light my fire\nTry to set the night on fire\nYeah...\nThe time to hesitate is through\nNo time to wallow in the mire\nTry now we can only lose\nAnd our love become a funeral pyre\nCome on baby light my fire\nCome on baby light my fire\nTry to set the night on fire\nYeah\nYou know that it would be untrue\nYou know that I would be a liar\nIf I was to say to you\nGirl we couldn't get much higher\nCome on baby light my fire\nCome on baby light my fire\nTry to set the night on fire\nTry to set the night on fire\nTry to set the night on fire\nTry to set the night on fire"""
7,Somethin' Stupid,Frank,1967,"b'I know I stand in line until you think you have the time to spend an evening with me\nAnd if we go some place to dance I know that there\'s a chance you won\'t be leaving with me\nThen afterwards we drop into a quiet little place and have a drink or two\nAnd then I go and spoil it all by saying somethin\' stupid like ""I love you""\nI can see it in your eyes that you despise the same old lies you heard the night before\nAnd though it\'s just a line to you for me it\'s true and never seemed so right before\nI practice every day to find some clever lines to say to make the meaning come through\nBut then I think I\'ll wait until the evening gets late and I\'m alone with you\nThe time is right your perfume fills my head the stars get red and oh the night\'s so blue\nAnd then I go and spoil it all by saying somethin\' stupid like ""I love you""\nThe time is right your perfume fills my head the stars get red and oh the night\'s so blue\nAnd then I go and spoil it all by saying somethin\' stupid like ""I love you""\n""I love you""\n""I love you""\n""I love you""\n""I love you""\n""I love you""'"
8,Happy Together,The Turtles,1967,"b""Imagine me and you I do\nI think about you day and night it's only right\nTo think about the girl you love and hold her tight\nSo happy together\nIf I should call you up invest a dime\nAnd you say you belong to me and ease my mind\nImagine how the world could be so very fine\nSo happy together\nI can't see me lovin' nobody but you\nFor all my life\nWhen you're with me baby the skies'll be blue\nFor all my life\nMe and you and you and me\nNo matter how they toss the dice it had to be\nThe only one for me is you and you for me\nSo happy together\nI can't see me lovin' nobody but you\nFor all my life\nWhen you're with me baby the skies'll be blue\nFor all my life\nMe and you and you and me\nNo matter how they toss the dice it had to be\nThe only one for me is you and you for me\nSo happy together\nBa-ba-ba-ba ba-ba-ba-ba ba-ba-ba ba-ba-ba-ba\nBa-ba-ba-ba ba-ba-ba-ba ba-ba-ba ba-ba-ba-ba\nMe and you and you and me\nNo matter how they toss the dice it had to be\nThe only one for me is you and you for me\nSo happy together\nSo happy together\nHow is the weather\nSo happy together\nWe're happy together\nSo happy together\nHappy together\nSo happy together\nSo happy together """
9,Groovin',The Young Rascals,1967,"b""Groovin' on a Sunday afternoon\nReally couldn't get away too soon\nI can't imagine anything that's better\nThe world is ours whenever we're together\nThere ain't a place I'd like to be instead of\nMovin' down a crowded avenue\nDoin' anything we like to do\nThere's always lots of things that we can see\nWe can be anyone we like to be\nAnd all those happy people we could meet just\nGroovin' on a Sunday afternoon\nReally couldn't get away too soon\nNo no no no\nWe'll keep on spending sunny days this way\nWe're gonna talk and laugh our time away\nI feel it coming closer day by day\nLife would be ecstasy you and me endlessly\nGroovin' on a Sunday afternoon\nReally couldn't get away to soon\nNo no no no\nGroovin' \nGroovin'"""
10,Can't Take My Eyes off You,Frankie Valli,1967,"b""You're just too good to be true\nCan't take my eyes off  of you\nYou'd be like Heaven to touch\nI wanna hold you so much\nAt long last love has arrived\nAnd I thank God I'm alive\nYou're just too good to be true\nCan't take my eyes off you\nPardon the way that I stare\nThere's nothing else to compare\nThe sight of you leaves me weak\nThere are no words left to speak\nBut if you feel like I feel\nPlease let me know that it's real\nYou're just too good to be true\nCan't take my eyes off you\nI love you baby and if it's quite alright\nI need you baby to warm a lonely night\nI love you baby trust in me when I say:\nOh pretty baby don't bring me down I pray\nOh pretty baby now that I found you stay\nAnd let me love you baby let me love you\nYou're just too good to be true\nCan't take my eyes off of you\nYou'd be like Heaven to touch\nI wanna hold you so much\nAt long last love has arrived\nAnd I thank God I'm alive\nYou're just too good to be true\nCan't take my eyes off you\nI love you baby and if it's quite alright\nI need you baby to warm a lonely night\nI love you baby trust in me when I say:\nOh pretty baby don't bring me down I pray\nOh pretty baby now that I found you stay\nOh pretty baby trust in me when I say"""
