Rank,Song,Artist,Year,Lyrics
1,Sugar Sugar,The Archies,1969,"b""Sugar ah honey honey\nYou are my candy girl\nAnd you've got me wanting you\nHoney ah sugar sugar\nYou are my candy girl\nAnd you've got me wanting you\nI just can't believe the loveliness of loving you\nI just can't believe the one to love this feeling to\nAh sugar ah honey honey\nYou are my candy girl\nAnd you've got me wanting you\nAh honey ah sugar sugar\nYou are my candy girl\nAnd you've got me wanting you\nWhen I kissed you girl I knew how sweet a kiss could be\nLike the summer sunshine pour your sweetness over me\nSugar pour a little sugar on it honey\nPour a little sugar on it baby\nI'm gonna make your life so sweet yeah yeah yeah\nPour a little sugar on it oh yeah\nPour a little sugar on it honey\nPour a little sugar on it baby\nI'm gonna make your life so sweet yeah yeah yeah\nPour a little sugar on it honey\nAh sugar ah honey honey\nYou are my candy girl\nAnd you've got me wanting you\nOh honey honey sugar sugar...\nYou are my candy girl"""
2,Aquarius/Let the Sunshine In,The 5th Dimension,1969,"b""When the moon is in the Seventh House\nAnd Jupiter aligns with Mars\nThen peace will guide the planets\nAnd love will steer the stars\nThis is the dawning of the age of Aquarius\nThe age of Aquarius\nAquarius\nAquarius\nHarmony and understanding\nSympathy and trust abounding\nNo more falsehoods or derisions\nGolden living dreams of visions\nMystic crystal revelation\nAnd the mind's true liberation\nAquarius\nAquarius\nWhen the moon is in the Seventh House\nAnd Jupiter aligns with Mars\nThen peace will guide the planets\nAnd love will steer the stars\nThis is the dawning of the age of Aquarius\nThe age of Aquarius\nAquarius\nAquarius\nAquarius\nAquarius\nLet the sunshine\nLet the sunshine in\nThe sunshine in\nLet the sunshine\nLet the sunshine in\nThe sunshine in\nLet the sunshine\nLet the sunshine in\nThe sunshine in\nLet the sunshine\nLet the sunshine in\nThe sunshine in\nOh everyone sing along\nCome on!\nNow everybody just sing along\nAnd let the sunshine on in\nOpen up your heart\nAnd let it shine on you\nAnd when you're lonely\nHey! let it shine yea\nYou got to open up your heart\nAnd let it shine on in\nWhen you feel like you've been mistreated\nAnd your friends are turning backs upon you\nJust open up your heart\nAnd let it shine in\nYou've got to feel it\nYou've got to feel it\nJust open up your heart\nAnd let it shine on in\nLet the sunshine\nLet the sunshine in\nThe sunshine in\nI want you to sing along with the 5th Dimension\nJust open up your heart\nAnd let it shine on in\nLet the sunshine\nLet the sunshine in\nThe sunshine in\nLet the sunshine\nLet the sunshine in\nThe sunshine in\nHey you gotta feel it\nYou gotta feel it\nOpen up your heart\nAnd let the sunshine in\nLet the sunshine\nLet the sunshine in\nThe sunshine in"""
3,I Can't Get Next to You,The Temptations,1969,"b""Hold it everybody\nHold it hold it listen\nI can turn the gray sky blue\nI can make it rain whenever I want it to\nOh I can build a castle from a single grain of sand\nI can make a ship sail huh on dry land\nBut my life is incomplete and I'm so blue\nCause I can't get next to you \nNext to you \nI just can't get next you \nI can fly like a bird in the sky\nHey and I can buy anything that money can buy\nOh I can turn a river into a raging fire\nI can live forever if I so desire\nUnimportant are all the things I can do\nCause I can't get next to you \nNo matter what I do \nUh-yah\nOoh ooh\nChicka boom chicka boom\nChicka boom boom boom\nI can turn back the hands of time\nYou better believe I can\nI can make the seasons change just by waving my hand\nOh I can change anything from old to new\nThe things I want to do the most I'm unable to do\nUnhappy am I with all the powers I possess\n'Cause girl you're the key to my happiness\nAnd I can't get next to you\nGirl you're blowing my mind\nCause I can't get \nCan't you see these tears I'm crying?\nI can't get \nGirl it's you that I need\nI gotta get \nCan't you see these tears I'm crying?\nI can't get \nI I I I I can't get \nI I I I I can't get \nGirl you're blowing my mind\nCause I can't get.."""
4,Honky Tonk Women,The Rolling Stones,1969,"b""I met a gin-soaked barroom queen in Memphis\nShe tried to take me upstairs for a ride\nShe had to heave me right across her shoulder\nCause I just can't seem to drink it off my mind\nIt's the honky tonk women\nGimme gimme gimme the honky tonk blues\nI laid a divorcee in New York City\nI had to put up some kind of a fight\nThe lady then she covered me with roses\nShe blew my nose and then she blew my mind\nIt's the honky tonk women\nGimme gimme gimme the honky tonk blues\nStrollin' on the boulevards of Paris\nNaked as the day that I will die\nThe sailors they're so charming there in Paris\nBut I just don't seem to sail you off my mind\nIt's the honky tonk women\nGimme gimme gimme the honky tonk blues"""
5,Everyday People,Sly,1969,"b""Sometimes I'm right and I can be wrong\nMy own beliefs are in my song\nThe butcher the banker the drummer and then\nMakes no difference what group I'm in\nI am everyday people yeah yeah\nThere is a blue one who can't accept the green one\nFor living with a fat one trying to be a skinny one\nAnd different strokes for different folks\nAnd so on and so on and scooby dooby doo-bee\nOoh sha sha\nWe got to live together\nI am no better and neither are you\nWe are the same whatever we do\nYou love me you hate me you know me and then\nYou can't figure out the bag I'm in\nI am everyday people yeah yeah\nThere is a long hair that doesn't like the short hair\nFor being such a rich one that will not help the poor one\nDifferent strokes for different folks\nAnd so on and so on and scooby dooby doo-bee\nOoh sha sha\nWe got to live together\nThere is a yellow one that won't accept the black one\nThat won't accept the red one that won't accept the white one\nDifferent strokes for different folks\nAnd so on and so on and scooby dooby doo-bee\nOoh sha sha\nI am everyday people"""
6,Dizzy,Tommy Roe,1969,"b""Dizzy\nI'm so dizzy my head is spinning\nLike a whirlpool it never ends\nAnd it's you girl making it spin\nYou're making me dizzy\nFirst time that I saw you girl\nI knew that I just had to make you mine\nBut it's so hard to talk to you\nWith fellas hanging 'round you all the time\nI want you for my sweet pet\nBut you keep playing hard to get\nI'm going around in circles all the time\nDizzy\nI'm so dizzy my head is spinning\nLike a whirlpool it never ends\nAnd it's you girl making it spin\nYou're making me dizzy\nI finally got to talk to you\nAnd I told you just exactly how I felt\nThen I held you close to me\nAnd kissed you and my heart began to melt\nGirl you've got control on me\n'Cause I'm so dizzy I can't see\nI need to call a doctor for some help\nDizzy\nI'm so dizzy my head is spinning\nLike a whirlpool it never ends\nAnd it's you girl making it spin\nYou're making me dizzy my head is spinning\nLike a whirlpool it never ends\nAnd it's you girl making it spin\nYou're making me dizzy\nYou're making me dizzy\nI'm so dizzy\nYou're making me dizzy"""
7,Hot Fun in the Summertime,Sly,1969,"b""End of the spring and here she comes back\nHi hi hi hi there\nThem summer days\nThose summer days\nThat's when I have most of my fun back\nHigh high high high there\nThem summer days\nThose summer days\nI cloud nine when I want to\nOut of school yeah\nCounty fair in the country sun\nAnd everything is cool\nOoh yeah\nHot fun in the summertime\nHot fun in the summertime\nHot fun in the summertime\nHot fun in the summertime\nFirst of the fall and there she goes back\nBye bye bye bye there\nThem summer days\nThose summer days\nBop-bop-ba-bop-bop when I want to\nOut of school yeah\nCounty fair in the country sun\nAnd everything is cool\nOoh yeah\nHot fun in the summertime\nHot fun in the summertime\nHot fun in the summertime"""
8,I'll Never Fall in Love Again,Tom Jones,1969,"b""I've been in love so many times\nThought I knew the score\nBut now you've treated me so wrong\nI can't take anymore\nAnd it looks like\nI'm never gonna fall in love again\nFall in love I'm never gonna fall in love\nI mean it\nFall in love again\nAll those things I heard about you\nI thought they were only lies\nBut when I caught you in his arms\nI just broke down and cried\nAnd it looks like\nI'm never gonna fall in love again\nFall in love no I'm never gonna fall in love\nI mean it I mean it\nFall in love again\nI gave my heart so easily\nI cast aside my pride\nBut when you fell for someone else baby\nI broke up all inside\nAnd it looks like\nI'm never gonna fall in love again\nThat's why I'm a-singin' it\nFall in love no I'm never gonna fall in love\nPlease don't make me\nFall in love again"""
9,Build Me Up Buttercup,The Foundations,1969,"b'Why do you build me up \nButtercup baby\nJust to let me down? \nAnd mess me around\nAnd then worst of all \nYou never call baby\nWhen you say you will \nBut I love you still\nI need you \nMore than anyone darling\nYou know that I have from the start\nSo build me up \nButtercup don\'t break my heart\n""I\'ll be over at ten"" you told me time and again\nBut you\'re late I wait around and then \nI went to the door I can\'t take any more\nIt\'s not you you let me down again \nBaby baby try to find \nA little time and I\'ll make you happy \nI\'ll be home I\'ll be beside the phone waiting for you\nOoh ooh\nWhy do you build me up \nButtercup baby\nJust to let me down? \nAnd mess me around\nAnd then worst of all \nYou never call baby\nWhen you say you will \nBut I love you still\nI need you \nMore than anyone darling\nYou know that I have from the start\nSo build me up \nButtercup don\'t break my heart\nTo you I\'m a toy but I could be the boy you adore\nIf you\'d just let me know \nAlthough you\'re untrue I\'m attracted to you all the more\nWhy do I need you so? \nBaby baby try to find \nA little time and I\'ll make you happy \nI\'ll be home I\'ll be beside the phone waiting for you\nOoh ooh\nWhy do you build me up \nButtercup baby\nJust to let me down? \nAnd mess me around\nAnd then worst of all \nYou never call baby\nWhen you say you will \nBut I love you still\nI need you \nMore than anyone darling\nYou know that I have from the start\nSo build me up \nButtercup don\'t break my heart\nI-I-I need you more than anyone baby\nYou know that I have from the start\nSo build me up \nButtercup don\'t break my heart'"
10,Crimson and Clover,Tommy James,1969,"b""Oh\nNow I don't hardly know her\nBut I think I could love her\nCrimson and clover\nAh\nI wish she'd come walking over\nNow I've been waiting to show her\nCrimson and clover\nOver and over\n{Instrumental}\nYes \nMy my such a sweet thing \nI want to do everything \nWhat a beautiful feeling \nCrimson and clover \nOver and over\n{Instrumental - Long}\nCrimson and clover over and over\nCrimson and clover over and over\nCrimson and clover over and over\nCrimson and clover over and over\nCrimson and clover over and over\nCrimson and clover over and over"""
