Rank,Song,Artist,Year,Topic Rank,Single Rank,Position Rank,Multipartite Rank
56,Gummo,6ix9ine,2018,niggas;nigga;whip;cash;nigga;blicky;fuck;dash;rob;shout;stick;new;silly;quarter;drum;stiffy;pew;pew;yo;blow,nigga;nigga;nigga;nigga;nigga;silly;uzi;loser;nigga;wheelie;nigga;niggas;niggas;niggas;niggas;pew;new;new;old;shit,nigga;niggas;nigga;niggas;niggas;nigga;silly;nigga;nigga;loser;uzi;wheelie;blicky;pew;drum;scum;move;shit;quarter;new,niggas;blicky;nigga;stiffy;nigga;whip;cash;drum;niggas;rob;dash;fuck;silly;shout;shit;stick;scum;quarter;new;pew
57,Plug Walk,Rich the Kid,2018,plug;nigga;fuck;bitch;shoe;space;tat;rat;gucci;du;til;ooh;wave;boo;house;overseas;bentley;morning;rich;henny,plug;ayy;plug;plug;plug;plug;plug;space;pussy;other;shoe;du;fuck;nigga;ayy;bitch;racks;louis;e;boo,ayy;plug;plug;plug;ayy;plug;plug;space;new;other;pussy;fuck;nigga;bitch;shoe;du;e;k;rich;louis,plug;nigga;fuck;plug;space;bitch;shoe;dub;ayy;plug;racks;gucci;tat;plug;rat;du;ooh;til;pussy;boo
58,Wait,Maroon 5,2018,beggin;times;love;color;dress;tired;holdin;lot;things;mother;feelings;special;dirty;moment;glad;bad,special;bad;last;beggin;dirty;dress;lot;tired;feelings;mother;color;love;things;holdin;moment;glad;times;more;'cause,dirty;mother;special;dress;color;beggin;last;love;times;feelings;bad;moment;holdin;lot;'cause;things,beggin;times;love;color;dress;tired;holdin;mother;feelings;special;things;lot;dirty;last;moment;glad;bad
59,Be Careful,Cardi B,2018,careful;keisha;nigga;whole;feelings;bitch;girl;fuck;worth;certain;warnin;losin;life;package;course;fragile;threat;someone;whole;mine,only;shit;fine;misfortunate;whole;mirror;keisha;random;certain;certain;nigga;whole;hard;belly;poolside;careful;fuck;few;bitch;shit,shit;keisha;belly;currys;only;whole;shit;fine;ayesha;whole;certain;certain;heart;tlc;fragile;poolside;lesson;few;piece;misfortunate,careful;keisha;nigga;whole;fuck;bitch;certain;feelings;belly;girl;worth;tlc;life;course;piece;losin;warnin;mine;everything;package
60,Wolves,Selena Gomez,2018,jungle;wolves;summer;drunk;stranger;dark;much;feeling;heavy;love;moon;darkest;stars;anger;sky;way;water;skin;places;wine,summer;heavy;heavy;feeling;dark;darkest;sweet;much;stranger;places;drunk;blindly;moon;stars;jungle;wine;water;skin;way;break,heavy;summer;sweet;eyes;water;wine;darkest;dark;feeling;drunk;jungle;stars;wolves;way;sky;stranger;moon;love;anger;places,jungle;wolves;summer;drunk;stranger;dark;much;heavy;feeling;love;moon;darkest;stars;anger;sky;way;water;heavy;skin;places
61,Bartier Cardi,Cardi B,2018,bitch;cardi;offset;body;pussy;check;rich;man;bardi;diamonds;party;lame;rari;brain;shinin;chain;insane;range;givenchy;savage,cartier;cardi;cardi;wannabe;bitchy;bitch;flame;bitch;cardi;lame;brain;brain;offset;bentley;crew;body;saint;hot;pussy;insane,cardi;wannabe;flame;cardi;bitchy;bitch;bitch;bardi;body;body;offset;brain;rari;brain;diamonds;shinin;pussy;party;bentley;chain,bitch;cardi;bardi;body;offset;body;pussy;check;rich;man;diamonds;rari;party;lame;brain;shinin;cardi;chain;insane;flame
62,God Is a Woman,Ariana Grande,2018,god;woman;one;midnight;feelin;way;things;boy;afraid;tellin;hands;rest;company;universe;soul;different;last;nobody;track;time,woman;afraid;track;boy;god;baby;way;feelin;hands;company;universe;soul;things;midnight;rest;different;time;one;tellin;last,woman;god;feelin;one;midnight;track;afraid;way;things;boy;baby;time;hands;tellin;universe;company;soul;rest;nobody,god;woman;one;midnight;feelin;way;boy;things;afraid;tellin;rest;company;hands;universe;soul;baby;different;nobody;last;track
63,Big Bank,YG,2018,big;lil;money;safe;bank;bank;face;hood;bitch;everything;phantom;fuckin;white;back;mad;bar;pack;door;bankroll;tropicana,bank;bank;bank;bank;tesla;big;small;bank;bank;phantom;big;big;tall;white;ankle;lil;more;bum;affordable;safe,bank;bank;big;bank;bank;bitch;phantom;big;big;white;bitch;white;lil;aim;white;safe;ankle;awake;money;type,big;lil;money;safe;bank;bank;bitch;face;bank;bank;hood;type;awake;white;everything;fuckin;phantom;bar;small;back
64,Sorry Not Sorry,Demi Lovato,2018,baby;sorry;bad;revenge;baddest;better;bein;payback;good;tables;worse;bet;fire;easy;nice;savage;bigger;greener;bright;grass,baby;baby;baby;bad;sorry;bigger;revenge;better;bad;second;feelin;good;bet;bitter;grass;bein;baddest;proud;regret;payback,baby;baby;bad;baby;payback;revenge;feelin;better;good;bigger;bein;tables;second;fire;ten;bet;regret;savage;bitter;way,baby;sorry;bad;revenge;feelin;bad;baddest;payback;better;bein;worse;good;tables;ten;fire;bet;best;easy;savage;nice
65,How Long,Charlie Puth,2018,baby;ooo;apologies;shady;round;actin;creepin;feelin;oooh;callin;show;real;heart;head;drunk;girl;right;wrong;feelings;alright,alright;ooo;feelin;baby;drunk;wrong;head;show;callin;right;love;only;shady;actin;oooh;round;creepin;heart;apologies;girl,alright;girl;head;heart;baby;show;ooo;callin;feelings;apologies;creepin;round;oooh;love;fault,baby;ooo;apologies;shady;round;actin;creepin;feelin;oooh;callin;show;real;heart;head;drunk;girl;right;wrong;feelings;alright
66,Lights Down Low,Max,2018,lights;flood;island;everything;flow;time;reckless;divine;cause;grab;best;movie;place;energy;hand;steam;cloud;heavy;rain;bare,reckless;'cause;lights;everything;time;bare;baby;flow;flood;heavy;divine;island;grab;movie;head;rain;angel;cause;beautiful;best,heaven;reckless;lights;'cause;time;everything;baby;flow;head;flood;island;angel;heavy;heart;bare;cause;cloud;steam;place;rain,lights;flood;island;everything;flow;time;reckless;divine;cause;grab;best;energy;place;movie;baby;hand;steam;cloud;heavy;rain
67,Young Dumb & Broke,Khalid,2018,young;high;young;name;love;fun;moment;right;love;commitment;sure;common;much;sin;wrong;fun;time;life;everything,young;young;yadadadadadadada;young;high;high;fun;love;high;fun;love;name;right;sure;commitment;sin;wrong;time;much;life,dumb;young;young;high;love;fun;love;fun;name;moment;sin;everything;commitment;life;time,high;young;young;high;moment;yadadadadadadada;name;love;fun;love;fun;sin;right;commitment;sure;common;much;wrong;time;life
68,One Kiss,Calvin Harris,2018,love;fallin;possibilities;kiss;way;something;heaven;feeling;eep;eyes;time;mine;passion;skin;message;wonderland;moon;sunday;night,sunday;company;heaven;something;eyes;fallin;feeling;kiss;love;way;passion;possibilities;'cause;eep;moon;message;e;time;wonderland;mine,kiss;fallin;love;possibilities;way;sunday;company;real;feeling;eep;'cause;heaven;something;e;moon;eyes;passion;time;message;wonderland,love;fallin;possibilities;kiss;way;something;heaven;feeling;eep;eyes;time;mine;passion;message;skin;wonderland;company;moon;sunday;night
69,Natural,Imagine Dragons,2018,natural;heart;cold;world;stone;mine;life;edge;face;today;price;leave;product;truth;hunter;house;prey;nothing;bit;wrong,natural;natural;natural;life;cold;will;heart;dark;will;past;world;mine;price;leave;house;truth;product;prey;stone;cost,natural;natural;natural;mine;heart;will;life;house;will;line;cost;price;consequence;world;leave;nothing;product;dark;stars;stone,natural;heart;cold;world;stone;mine;life;edge;face;today;price;leave;product;truth;hunter;house;prey;nothing;bit;wrong
70,You Make It Easy,Jason Aldean,2018,easy;day;better;savin;grace;sunshine;little;kisses;cover;face;god;songs;words;places;rough;edges;inspiration;feathers;life;finger,cover;easy;easy;rainy;darkest;easy;songs;little;words;inspiration;feathers;sunshine;kisses;bed;savin;better;edges;grace;face;life,rainy;bed;inspiration;easy;easy;babe;songs;darkest;little;day;cover;words;kisses;places;sunshine;face;savin;grace;god;feathers,easy;day;better;savin;darkest;kisses;grace;sunshine;little;cover;face;inspiration;words;songs;god;places;bed;rough;edges;rainy
71,Shape of You,Ed Sheeran,2018,love;body;baby;something;day;shape;lead;last;something;bed;room;handmade;heart;hours;magnet;somebody;shots;girl;crazy;drinking,something;love;brand;body;best;hand;something;bed;radio;first;day;shape;last;hours;plate;friends;sour;sweet;bar;lover,best;club;lover;bar;love;friends;something;body;table;shots;drinking;hand;something;brand;day;bed;last;shape;van;man,love;body;baby;day;something;shape;lead;last;something;bed;room;brand;handmade;heart;magnet;hours;somebody;shots;girl;crazy
72,I Get the Bag,Gucci Mane,2018,bag;easy;dope;drop;bitch;droppin;real;fleek;fast;lil;stash;thot;italy;cash;fumble;spot;lot;car;blunt;foreign,easy;neck;casket;convertible;traffic;savage;masters;trapper;tragic;plastic;baby;drop;bag;dope;cocaine;top;money;fleek;spot;lil,drop;southside;southside;convertible;top;gucci;young;future;ooh;easy;foreign;neck;casket;dope;savage;traffic;masters;trapper;tragic;plastic,bag;drop;easy;dope;bitch;droppin;real;top;fleek;southside;ooh;fast;lil;fumble;cash;stash;thot;italy;lot;spot
73,No Brainer,DJ Khaled,2018,brainer;high;top;crowd;whole;woah;mind;arms;sun;hard;middle;best;asahd;invisible;dead;breakin;critical;everybody;hoes;presence,middle;top;woah;best;crowd;real;night'll;whole;high;change;high;whole;brainer;best;mind;critical;drop;bitch;multiple;sun,woah;best;top;best;crowd;real;top;high;music;night'll;whole;brainer;dj;whole;change;drop;sun;asahd;mind;arms,brainer;high;crowd;top;whole;woah;mind;arms;sun;hard;best;real;middle;drop;asahd;invisible;dead;breakin;critical;everybody
74,Plain Jane,ASAP Ferg,2018,niggas;watch;job;name;chain;mob;job;uncle;nicks;rappers;yo;fiends;grandma;mad;pills;plain;momma;life;bella;liberia,watch;watch;plain;nigga;mob;nite;fiends;chain;watch;name;nigga;skim;yeezy;guts;yo;mad;bella;dummy;job;graffiti,mob;name;chain;watch;job;nigga;job;ferg;pauly;nigga;somethin';nite;yo;mad;skim;superior;mad;liberia;dummy;guts,niggas;watch;name;chain;job;uncle;mob;nigga;nicks;plain;job;yo;life;ferg;rappers;mad;momma;liberia;skim;start
75,Sky Walker,Miguel,2018,moment;shot;wave;stem;day;matador;haters;matador;friend;luke;birthday;quick;bull;wildin;mind;night;damn;chain;shotgunnin;baby,matador;birthday;matador;stem;conversation;luke;jordan;top;more;haters;tom;baes;day;police;moment;wave;bull;matador;mind;steak,matador;bull;quick;matador;stem;cap;wave;luke;good;shot;jordan;haters;day;moment;friend;reppin;canada;gains;birthday;top,moment;shot;wave;stem;matador;matador;quick;day;bull;haters;friend;luke;birthday;cap;wildin;mind;night;damn;chain;shotgunnin
76,Marry Me,Thomas Rhett,2018,strong;whiskey;back;flask;daddy;black;money;nobody;ooh;many;country;magnolias;service;dress;granddaddy;guests;late;bet;day;invite,black;many;strong;same;daddy;back;country;magnolias;invite;money;guests;dress;bet;whiskey;ooh;service;flask;late;granddaddy;best,many;black;black;magnolias;strong;country;daddy;back;service;money;granddaddy;ooh;whiskey;flask;same;invite;day;bet;dress;guests,strong;whiskey;back;flask;daddy;black;money;nobody;ooh;many;country;magnolias;service;dress;granddaddy;guests;late;bet;day;invite
77,Eastside,Benny Blanco Halsey,2018,love;old;day;eastside;city;hands;baby;sun;blue;coast;sea;backstreets;drive;different;line;minds;tonight;anything;today;ideas,old;new;blue;love;life;dead;different;old;coast;blue;day;hands;baby;daddy;bus;back;sun;city;backstreets;hand,love;old;hands;new;blue;life;different;day;blue;daddy;back;bus;old;city;sun;dead;coast;eastside;baby;light,love;old;day;eastside;hands;city;sun;baby;blue;backstreets;coast;line;sea;minds;drive;anything;hand;different;tonight;young
78,Call Out My Name,The Weeknd,2018,times;name;rough;way;girl;top;proud;babe;sure;life;mind;pit;piece;mistake;comfort;nothing;broken;love,broken;life;times;rough;nothing;name;top;piece;proud;girl;comfort;babe;pit;sure;way;mind;other;time;mistake;love,broken;comfort;times;top;name;girl;mistake;way;babe;time;life;mind;nothing;piece;pit;love,times;name;rough;way;girl;top;proud;babe;sure;life;mind;pit;piece;mistake;comfort;nothing;broken;love
79,King's Dead,Jay Rock Kendrick Lamar Future,2018,ready;bitch;edge;life;lil;blackin;baby;tourist;bang;car;full;thou;bullshit;shot;team;magnum;day;weekend;culture;rolls,hail;red;boo;life;edge;magnum;ready;bitch;moral;pedigree;bang;bitch;big;fuck;never;da;secret;magnum;comp;top,tourist;bullshit;gang;purist;life;bitch;bitch;gang;green;red;lil;thou;bought;bang;cutlass;big;da;life;top;weekend,ready;bitch;edge;lil;life;blackin;bang;tourist;baby;car;full;bullshit;life;thou;shot;team;rolls;weekend;day;magnum
80,Happier,Marshmello,2018,happier;know;minute;mind;right;spirits;day;wind;flame;argument;cold;fire;word;image;thoughts;story;evening;way;someone;okay,minute;cold;happier;mind;spirits;right;wind;flame;thoughts;argument;fire;okay;day;evening;least;word;someone;image;wreck;know,cold;minute;morning;evening;mind;flame;wind;spirits;day;fire;argument;thoughts;word;know;way;story;'cause;image;someone;wreck,happier;know;minute;mind;right;spirits;day;wind;flame;argument;cold;fire;word;image;thoughts;story;evening;way;someone;okay
81,Te Boté,Nio García Darell,2018,yo;beb;que;te;pero;mal;bien;esa;son;pero;aqu;bot;negar;tre;el;dio;te;est;yo;mami,y;yo;y;yo;y;pa'l;yo;negar;pero;te;te;te;te;te;te;ti;te;te;te;viste,y;y;yo;y;yo;paso;yo;te;te;negar;te;te;te;te;pero;ti;te;te;y;te,yo;beb;que;te;yo;pero;son;tre;esa;te;bot;mal;saqu;te;te;bien;flow;pero;aqu;las
82,Simple,Florida Georgia Line,2018,way;style;string;world;love;safe;laughin;need;simple;lot;easy;day;time;little;rocket;true;piece;hard;road;history,simple;simple;instagram;traffic;sunday;rocket;way;hard;piece;time;epiphany;history;rest;road;true;bout;damn;day;laughin;little,way;rocket;mine;traffic;fingers;time;sunday;day;world;laughin;string;road;piece;style;instagram;love;lot;land;rest;history,way;style;string;world;love;safe;laughin;need;simple;lot;easy;day;time;little;rocket;true;piece;hard;road;history
83,Lemon,N.E.R.D,2018,bouncin;hate;minute;nigga;speakers;wait;niggas;face;eyes;scrimmage;mothafucka;window;runnin;lens;top;veyron;side;paparazzi;askin;acidic,face;face;nigga;face;bae;guns;race;hate;outrageous;hate;couches;dude;eli;top;bouncin;p;minute;space;face;nigga,face;bae;race;guns;hate;outrageous;hate;truth;couches;dude;eli;bouncin;face;minute;bad;p;minute;speakers;car;i,bouncin;hate;speakers;minute;niggas;nigga;wait;minute;face;face;eyes;side;askin;scrimmage;runnin;mothafucka;veyron;window;lens;top
84,1-800-273-8255,Logic,2018,life;alive;mind;time;low;lightness;today;nobody;hard;long;road;darkest;air;heroic;chest;day;lover;one;little;head,life;life;little;darkest;little;other;mind;first;light;time;low;nobody;alive;alone;lane;same;long;road;tears;'bout,life;time;mind;nobody;little;little;other;today;home;first;one;heroic;day;light;darkest;lemme;'bout;somebody;phone;reason,alive;life;mind;time;low;lightness;today;nobody;long;hard;road;darkest;air;chest;lover;heroic;head;day;first;one
85,Say Something,Justin Timberlake,2018,something;greatest;nothing;caught;rhythm;everybody;heart;ooh;middle;name;melody;harmony;tonight;transgressions;direction;mhmm,greatest;something;ooh;nothing;everyone;heart;caught;direction;melody;tonight;rhythm;mhmm;transgressions;harmony;everybody;middle;name,ooh;everyone;mhmm;something;greatest;direction;heart;nothing;transgressions;melody;harmony;tonight;everybody;caught;rhythm;name;middle,something;greatest;nothing;caught;rhythm;everybody;ooh;heart;middle;name;melody;harmony;mhmm;direction;transgressions;tonight;everyone
86,I'm Upset,Drake,2018,lot;blood;cold;soul;shit;tryna;upset;head;women;hoe;thankful;disrespect;month;left;gettin;loose;hunnid;less;word;drinkin,outta;real;sms;upset;lot;niggas;only;outta;shit;only;soul;child;upset;head;flacko;tryna;blood;cold;gettin;ex,upset;head;dyin;niggas;lot;outta;hunnid;tryna;blood;flacko;shit;soul;real;outta;child;sex;only;hoe;only;month,lot;blood;upset;head;cold;tryna;soul;shit;women;disrespect;hoe;thankful;soul;upset;month;left;gettin;dyin;hunnid;loose
87,Get Along,Kenny Chesney,2018,scared;upper;love;beer;boat;song;wall;mom;long;friend;road;perfect;model;saw;left;photoshopped;eyes;billboard;bible;wondered,long;upper;left;t;hometown;man;scared;mom;friend;wall;boat;road;song;beer;lonely;eyes;love;virginia;lovers;l,t;man;met;upper;virginia;left;long;lovers;bible;wall;mom;love;bottle;boat;road;beer;song;friend;name;laughin,scared;upper;love;beer;boat;song;wall;mom;long;friend;road;perfect;model;saw;left;photoshopped;eyes;billboard;bible;wondered
88,Moonlight,XXXTentacion,2018,moonlight;shawty;bad;mood;nigga;good;pussy;right;spotlight;girl;intestine;knife;lesson;scantron;shots;phone;fuck;wesson;smith;brethren,spotlight;mood;intestine;moonlight;bad;right;right;knife;pussy;lesson;nigga;good;mood;scantron;fuck;shots;shawty;spotlight;brethren;wesson,spotlight;moonlight;bad;spotlight;pussy;nigga;right;mood;shawty;intestine;girl;phone;knife;lesson;brethren;scantron;shots;fuck;wesson;smith,moonlight;shawty;bad;nigga;mood;good;pussy;right;spotlight;spotlight;mood;girl;intestine;knife;phone;lesson;shots;scantron;right;fuck
89,What Lovers Do,Maroon 5,2018,ooh;tryna;lovers;lucky;baby;wishin;house;grown;changin;old;say;mess;young;thing;games;mama;gate,better;ooooh;baby;ooh;tryna;baby;wishin;lovers;say;old;grown;lucky;changin;mama;thing;young;mess;house;games;gate,baby;ooooh;baby;say;mama;tryna;ooh;thing;lovers;house;changin;mess;young;games;gate,ooh;tryna;lovers;lucky;baby;baby;house;wishin;mama;grown;changin;thing;old;say;mess;young;games;gate
90,X,Nicky Jam,2018,negar;negar;las;comerte;fuerte;quiero;sin;besos;hablar;ba;baby;deja;nicky;nicky;calmar;pero;normal;cuello;parte;sed,plakata;s;como;';pero;y;la;vi;y;te;deja;negar;sin;nicky;te;j;parte;r;empezar;que,';vi;y;pero;que;te;y;te;aquel;negar;s;deja;sin;parte;negar;estamos;lo;empezar;comerte;que,negar;negar;estamos;las;comerte;fuerte;quiero;sin;besos;baby;ba;calmar;cuello;hablar;sobre;sed;deja;nicky;nicky;te
91,Outside Today,YoungBoy Never Broke Again,2018,today;tec;wraith;act;trial;drinkin;pull;take;lord;style;case;drive;camera;bitch;money;house;hide;face;son;title,hire;body;saran;today;lonely;house;brand;tec;pet;house;trial;drinkin;camera;bitch;act;pull;lord;clip;hide;take,saran;today;lonely;tec;act;pull;camera;hide;style;drive;new;trial;wraith;take;nigga;lord;dmac;case;house;double,today;tec;wraith;act;drinkin;pull;trial;take;lord;camera;style;case;drive;bitch;money;house;hide;son;face;homies
92,Trip,Ella Mai,2018,trippin;bad;whole;big;bitter;worse;true;good;givin;feelin;hittin;trip;sippin;mile;runnin;safety;feelings;type;kind;shootin,whole;love;trippin;love;true;steady;bad;shootin;bitter;heart;fool;waitin;feelin;safety;feelings;big;hittin;good;worse;mile,shootin;whole;love;feelings;trippin;safety;love;heart;true;bullet;mile;feelin;hittin;runnin;givin;trip;steady;makin;type;kind,trippin;bad;whole;love;big;bitter;worse;true;runnin;mile;good;givin;trip;feelin;hittin;sippin;safety;feelings;heart;shootin
93,Dura,Daddy Yankee,2018,dura;tienes;toque;que;que;dura;perd;mujer;fuiste;nivel;dura;calle;bien;piel;doy;curva;mami;dije;miren;eres,dura;dura;dura;t;dura;el;t;dura;nivel;que;muchas;se;t;dura;ram;el;especial;doy;perd;toque,dura;dura;otra;que;cuando;t;nivel;dura;dura;t;especial;el;toque;te;que;que;mujer;el;rome;te,dura;tienes;que;toque;dura;perd;que;mujer;tiritiritiririti;dije;fuiste;nivel;dura;bien;piel;calle;curva;mami;doy;esposas
94,Changes,XXXTentacion,2018,mmm;damage;way;heart;girl,mmm;way;mmm;damage;heart;girl,mmm;mmm;way;heart;damage;girl,mmm;damage;way;heart;girl;mmm
95,Mercy,Brett Young,2018,mercy;fast;shot;heart;mind;woah;drunk;lonely;tonight;lookin;good;mmmh;whole;flame,mercy;whole;woah;fast;lonely;drunk;tonight;lookin;mind;mmmh;good;heart;shot;flame,mercy;whole;woah;lookin;lonely;tonight;mind;mmmh;heart;shot;flame,mercy;fast;shot;heart;mind;woah;drunk;lonely;tonight;lookin;good;mmmh;whole;flame
96,One Number Away,Luke Combs,2018,number;mess;girl;head;got;brain;face;midnight;everything;whiskey;favorite;red;mirror;clearer;anything;smoke;voice;kiss;lips;station,favorite;favorite;red;marlboro;midnight;number;face;asleep;everything;lips;smoke;kiss;clearer;mayer;girl;mess;head;got;phone;hole,hole;phone;home;favorite;favorite;midnight;red;marlboro;number;times;face;mayer;everything;got;head;mess;girl;anything;movie;voice,number;mess;girl;head;got;brain;face;midnight;everything;whiskey;favorite;red;anything;mirror;clearer;voice;lips;smoke;kiss;station
97,Powerglide,Rae Sremmurd,2018,fuck;kush;comin;dollar;hostin;lap;lamb;niggas;many;pole;hoes;clothes;ooh;wonderland;snow;bitch;ass;trunk;tryna;rental,powerglide;baby;dollar;dollar;trunk;ooh;message;keisha;dollar;pocket;snow;chinny;cool;r;fuck;season;birthday;round;kush;money,mike;mall;drummers;kush;fuck;kush;comin;dollar;hostin;dollar;lap;hoes;lamb;snow;ooh;baby;message;wonderland;full;cool,fuck;kush;comin;dollar;hostin;ooh;lap;niggas;many;lamb;pole;snow;hoes;clothes;wonderland;girl;bitch;pussy;ass;bad
98,IDGAF,Dua Lipa,2018,fuck;love;knees;sorry;late;tryna;time;tch;busy;movin;weekend;reminiscin;best;decision;damn;bed;victim;girl;songs;sweet,'cause;'cause;fuck;sweet;friendly;knees;tch;best;victim;decision;bed;late;business;love;songs;reminiscin;busy;comin;past;tryna,friendly;'cause;'cause;songs;fuck;business;knees;love;tch;girl;time;best;yesterday;tryna;sweet;decision;bed;victim;weekend;damn,fuck;love;knees;sorry;late;tryna;time;tch;busy;movin;weekend;reminiscin;best;decision;damn;bed;victim;girl;songs;sweet
99,Mi Gente,J Balvin,2018,romper;tiene;la;est;que;hago;sica;arriba;esquina;leggo;mais;los;mueve;tres;discoteca;si;es;rompiendo;nunca;tamo,sica;sica;tiene;romper;mi;toda;mi;worldwide;mira;los;comme;y;tiene;willy;y;que;el;el;si;tiene,mi;si;toda;mi;el;el;tiene;y;que;y;sica;m;mover;esta;hago;t;los;la;mueve;d,romper;tiene;hago;mueve;que;la;mi;sica;si;est;discoteca;nadie;rompiendo;cabeza;mover;tamo;para;nos;toda;baila
100,Believer,Imagine Dragons,2018,believer;first;pain;love;veins;drive;life;bullets;blood;flowin;inhibited;way;spirit;ebbin;master;sea;open;future;ashes;cloud,believer;believer;last;third;pain;first;things;second;young;veins;sea;bullets;cloud;masses;way;spirit;rain;ashes;love;life,first;believer;last;third;believer;things;words;second;say;way;pain;head;bullets;grace;fire;prayer;ones;young;life;love,first;believer;pain;say;way;love;veins;words;drive;life;head;believer;bullets;master;sea;flowin;inhibited;blood;tired;spirit
